date,lineitem,quantity,price,discounts,nettotal,purchasenumber,dayssincelastpurch,quantity364,price364,discounts364,netTotal364,quantity28,price28,discounts28,netTotal28,quantity7,price7,discounts7,netTotal7,engagement,posts
6/1/2018,Beef and Apple Burgers,38,12,1,426,2.588235294,47125.5,30,15,0,456,50,12,1,558,31,15,0,471,0,0
6/1/2018,Beef and Broccoli,25,8,0,233,2.5,62575.875,17,15,0,262,24,13,0,315,26,16,0,419,0,0
6/1/2018,Beef and Broccoli Stir Fry,24,10,0,237,2,63681.95455,14,10,1,127,19,10,0,190,15,10,0,150,0,0
6/1/2018,Beef and Squash Kabob,47,7,0,403,2.547619048,66780.19048,59,7,0,494,66,7,0,544,49,7,0,417,0,0
6/1/2018,Chicken and Onion Kabob,81,10,0,876,8.369863014,53542.9726,62,9,1,651,77,10,0,863,41,10,0,460,0,0
6/1/2018,Chutney,21,2,0,45,1.571428571,66722.85714,14,2,0,46,27,2,0,68,24,2,0,68,0,0
6/1/2018,Coconut and Beef Vindaloo,11,4,0,38,3.444444444,33578.66667,12,4,0,42,12,4,0,40,12,4,0,42,0,0
6/1/2018,Fountain Drink,40,2,0,79,2.538461538,50106.76923,33,2,0,66,54,2,0,105,35,2,0,70,0,0
6/1/2018,Lamb and Veggie Kabob,14,8,0,130,5.714285714,42975.57143,11,8,0,103,17,8,1,150,6,8,0,60,0,0
6/1/2018,Lamb Chops,15,9,1,123,3.2,53449.33333,16,12,0,194,19,11,0,209,11,18,4,155,0,0
6/1/2018,Naan,11,2,0,22,3.363636364,63698.90909,17,2,0,58,23,2,0,54,22,2,0,58,0,0
6/1/2018,Rice,35,2,0,82,2.047619048,57287.09524,16,2,0,34,17,2,0,40,18,2,0,56,0,0
6/1/2018,Salmon and Wheat Bran Salad,123,12,0,1571,4.923076923,54887.02885,64,15,0,980,116,15,0,1705,111,18,1,1879,0,0
6/1/2018,Yogurt,37,3,1,137,1.606060606,72803.87879,30,3,0,109,64,3,0,303,51,3,0,242,0,0
8/1/2018,Aubergine and Chickpea Vindaloo,7,4,0,24,1,99999,7,4,0,24,12,4,0,42,0,0,0,0,0,0
8/1/2018,Beef and Apple Burgers,20,17,0,336,5.1,40162.15,12,22,0,265,23,12,1,256,0,0,0,0,0,0
8/1/2018,Beef and Broccoli,18,10,0,168,1.5,68807.75,6,6,0,31,10,9,0,87,0,0,0,0,0,0
8/1/2018,Beef and Broccoli Stir Fry,6,10,0,61,1.333333333,66738.66667,11,10,0,108,7,10,0,67,0,0,0,0,0,0
8/1/2018,Beef and Squash Kabob,43,7,0,367,1.871794872,69303.79487,20,7,0,165,23,7,1,185,0,0,0,0,0,0
8/1/2018,Chicken and Onion Kabob,47,10,1,506,3.255813953,60497.72093,37,10,2,360,43,10,1,467,0,0,0,0,0,0
8/1/2018,Chutney,16,2,0,47,2.357142857,64307,10,2,0,19,8,2,0,20,0,0,0,0,0,0
8/1/2018,Coconut and Beef Vindaloo,9,4,0,32,5.25,25120,15,4,0,52,11,4,0,38,0,0,0,0,0,0
8/1/2018,Fountain Drink,19,2,0,38,2.5,50066.9375,31,2,0,61,19,2,0,38,0,0,0,0,0,0
8/1/2018,Lamb and Veggie Kabob,6,8,0,57,10.6,40011,7,8,0,59,4,8,0,39,0,0,0,0,0,0
8/1/2018,Lamb Chops,5,26,0,132,2.2,60275.2,13,8,0,103,12,12,0,149,0,0,0,0,0,0
8/1/2018,Naan,12,2,0,42,2.909090909,63758.81818,8,2,0,18,16,2,0,38,0,0,0,0,0,0
8/1/2018,Rice,17,2,0,55,2.6875,68866.625,9,2,0,18,10,2,0,19,0,0,0,0,0,0
8/1/2018,Salmon and Wheat Bran Salad,61,14,0,842,4.55,56742.6,69,12,0,833,72,15,0,1062,0,0,0,0,0,0
8/1/2018,Yogurt,26,3,0,134,2.333333333,62556.20833,27,3,0,90,30,3,0,109,0,0,0,0,0,0
9/1/2018,Aubergine and Chickpea Vindaloo,6,4,0,21,1,99999,4,4,0,14,8,4,0,28,10,4,0,32,0,0
9/1/2018,Beef and Apple Burgers,24,15,2,309,2.125,75076,19,14,0,254,16,17,1,254,28,13,0,367,0,0
9/1/2018,Beef and Broccoli,11,6,1,62,1.818181818,72742.27273,13,8,0,102,13,6,0,84,13,7,0,92,0,0
9/1/2018,Beef and Broccoli Stir Fry,9,10,0,92,1.444444444,88890.66667,6,10,4,39,5,10,0,50,8,10,0,77,0,0
9/1/2018,Beef and Squash Kabob,20,7,1,142,1.35,80072.35,22,7,0,188,32,7,0,270,18,7,1,149,0,0
9/1/2018,Chicken and Onion Kabob,25,10,1,261,4.833333333,54200.79167,41,10,1,439,46,10,0,509,31,10,0,341,0,0
9/1/2018,Chutney,16,2,0,32,2.538461538,76943.61538,14,2,0,26,11,2,0,32,12,2,0,26,0,0
9/1/2018,Fountain Drink,31,2,0,58,2.962962963,63020.2963,16,2,0,31,37,2,0,74,28,2,0,56,0,0
9/1/2018,Lamb and Veggie Kabob,6,8,1,48,8.166666667,66670.33333,11,8,3,69,13,8,2,95,8,8,1,75,0,0
9/1/2018,Lamb Chops,13,8,0,103,1.769230769,53916.92308,13,10,2,109,11,8,0,87,5,11,2,47,0,0
9/1/2018,Naan,17,2,0,36,4.235294118,41286.58824,27,2,0,57,15,2,0,38,13,2,0,30,0,0
9/1/2018,Rice,8,2,0,16,2.875,75020.875,16,2,0,39,11,2,0,22,8,2,0,24,0,0
9/1/2018,Salmon and Wheat Bran Salad,72,12,1,836,8.071428571,52923.05714,58,12,0,653,68,12,0,763,67,12,0,767,0,0
9/1/2018,Yogurt,21,3,0,69,1.952380952,71495.28571,15,3,0,50,25,3,0,98,22,3,0,71,0,0
10/1/2018,Aubergine and Chickpea Vindaloo,1,4,0,4,2,442,4,4,0,14,3,4,0,10,4,4,0,13,0,0
10/1/2018,Beef and Apple Burgers,24,10,1,217,3.75,41771.33333,21,12,1,222,21,16,2,292,23,10,1,211,0,0
10/1/2018,Beef and Broccoli,31,7,2,188,3.357142857,43016.57143,13,19,1,230,31,12,1,296,10,11,0,105,0,0
10/1/2018,Beef and Broccoli Stir Fry,11,10,0,110,5.3,30076.4,11,10,0,108,7,10,0,70,5,10,0,50,0,0
10/1/2018,Beef and Squash Kabob,20,7,0,169,2.722222222,83344.88889,28,7,0,242,31,7,0,265,21,7,1,156,0,0
10/1/2018,Chicken and Onion Kabob,41,10,1,439,3.384615385,51419.76923,49,10,0,541,47,10,1,482,48,10,0,540,0,0
10/1/2018,Chutney,13,2,1,42,6.636363636,63662.36364,18,2,0,54,9,2,1,32,6,2,0,14,0,0
10/1/2018,Coconut and Beef Vindaloo,6,4,1,18,1.8,60032.8,8,4,0,28,13,4,0,45,8,4,0,28,0,0
10/1/2018,Fountain Drink,21,2,0,40,3.823529412,29534.17647,29,2,0,56,41,2,1,67,33,2,0,65,0,0
10/1/2018,Lamb and Veggie Kabob,5,8,2,39,3.6,40062.6,13,8,1,111,15,8,2,121,3,8,0,28,0,0
10/1/2018,Lamb Chops,10,7,0,74,4.5,30270.8,12,9,2,85,15,8,2,91,9,8,0,72,0,0
10/1/2018,Naan,15,2,0,32,3.083333333,25215.25,12,2,0,36,10,2,0,38,14,2,0,30,0,0
10/1/2018,Rice,7,2,0,14,2.714285714,28772.42857,17,2,0,50,13,2,0,61,8,2,0,16,0,0
10/1/2018,Salmon and Wheat Bran Salad,83,12,1,866,4.446153846,44726.63077,92,14,1,1299,72,18,1,1151,73,12,1,840,0,0
10/1/2018,Yogurt,32,3,0,128,3.518518519,48224.40741,35,3,0,156,32,3,1,151,26,3,0,85,0,0
11/1/2018,Aubergine and Chickpea Vindaloo,13,4,0,42,3.727272727,54631.81818,8,4,0,28,4,4,0,14,6,4,0,21,0,0
11/1/2018,Beef and Apple Burgers,33,13,1,387,2.393939394,54615.66667,35,11,0,392,28,17,0,487,29,13,0,358,0,0
11/1/2018,Beef and Broccoli,17,21,0,350,3.647058824,41227.11765,22,18,12,145,20,12,0,191,14,15,0,207,0,0
11/1/2018,Beef and Broccoli Stir Fry,15,10,0,150,2.285714286,64315.78571,8,10,0,82,9,10,0,87,15,10,0,147,0,0
11/1/2018,Beef and Squash Kabob,21,7,1,164,2.05,60136.2,34,7,1,276,27,7,0,230,30,7,0,258,0,0
11/1/2018,Chicken and Onion Kabob,50,10,1,523,8.418604651,30343.53488,55,10,1,587,43,10,0,479,37,10,0,414,0,0
11/1/2018,Chutney,19,2,0,56,2.444444444,50053.11111,16,2,1,43,9,2,0,34,14,2,0,40,0,0
11/1/2018,Coconut and Beef Vindaloo,6,4,0,19,1.8,40181.2,14,4,0,45,2,4,0,7,7,4,0,24,0,0
11/1/2018,Fountain Drink,43,2,0,84,3.172413793,41452.82759,48,2,0,94,36,2,0,72,22,2,0,43,0,0
11/1/2018,Lamb and Veggie Kabob,8,8,0,78,7,37574.625,15,8,2,120,8,8,0,74,12,8,1,104,0,0
11/1/2018,Lamb Chops,15,12,0,176,2.6,53381.8,13,11,0,146,12,11,0,121,13,9,0,112,0,0
11/1/2018,Naan,13,2,0,36,1.769230769,46251.53846,23,2,0,53,17,2,0,50,18,2,0,48,0,0
11/1/2018,Rice,17,2,0,48,2,64750.64706,19,2,1,41,13,2,0,44,10,2,0,28,0,0
11/1/2018,Salmon and Wheat Bran Salad,91,14,0,1221,3.744444444,45644.61111,86,12,1,960,68,13,0,852,75,13,0,968,0,0
11/1/2018,Yogurt,37,3,0,163,3.342857143,45829.77143,34,3,0,127,23,3,0,107,24,3,0,92,0,0
12/1/2018,Aubergine and Chickpea Vindaloo,7,4,0,24,1.75,50090.25,12,4,0,38,20,4,0,70,10,4,0,35,0,0
12/1/2018,Beef and Apple Burgers,41,11,1,427,5.756097561,70864.09756,33,12,1,365,40,12,0,463,33,13,1,388,0,0
12/1/2018,Beef and Broccoli,22,8,0,177,1.636363636,72826.68182,25,6,0,155,39,8,0,441,25,9,0,214,0,0
12/1/2018,Beef and Broccoli Stir Fry,24,10,0,240,2.458333333,41824.75,17,10,1,162,21,10,0,207,25,10,0,240,0,0
12/1/2018,Beef and Squash Kabob,33,7,0,289,3.129032258,61328.12903,57,7,0,478,38,7,0,328,40,7,1,322,0,0
12/1/2018,Chicken and Onion Kabob,68,10,0,774,4.362068966,50053.17241,76,10,0,832,62,10,0,690,69,10,1,740,0,0
12/1/2018,Chutney,18,2,0,46,2.764705882,58994.47059,23,2,0,44,17,2,0,47,18,2,0,64,0,0
12/1/2018,Coconut and Beef Vindaloo,21,4,0,66,2.444444444,66705.05556,7,4,0,24,8,4,0,28,11,4,0,38,0,0
12/1/2018,Fountain Drink,41,2,0,77,11.03703704,48272.62963,60,2,0,117,42,2,0,83,58,2,0,108,0,0
12/1/2018,Lamb and Veggie Kabob,10,8,0,92,6.2,20172.3,19,8,1,158,17,8,0,161,17,8,1,153,0,0
12/1/2018,Lamb Chops,23,13,0,288,6.173913043,30671.91304,18,7,0,129,38,10,0,522,16,13,0,210,0,0
12/1/2018,Naan,24,2,0,68,2.904761905,28795.90476,24,2,0,50,28,2,0,76,33,2,0,78,0,0
12/1/2018,Rice,29,2,0,72,2.56,52118.56,26,2,0,55,20,2,0,54,23,2,0,52,0,0
12/1/2018,Salmon and Wheat Bran Salad,113,12,1,1319,5.972477064,47809.95413,145,12,1,1595,141,12,0,1949,102,12,1,1185,0,0
12/1/2018,Yogurt,43,3,0,156,8.209302326,62909.7907,44,3,0,167,28,3,0,122,43,3,0,157,0,0
13/1/2018,Aubergine and Chickpea Vindaloo,7,4,0,24,3.6,40243.8,13,4,0,46,15,4,0,52,10,4,0,35,0,0
13/1/2018,Beef and Apple Burgers,26,15,0,386,4.730769231,50137.03846,29,14,1,360,40,13,0,519,38,12,1,426,0,0
13/1/2018,Beef and Broccoli,17,9,0,148,2.529411765,64771.35294,27,8,0,211,17,24,0,407,25,8,0,233,0,0
13/1/2018,Beef and Broccoli Stir Fry,20,10,0,200,2,70038.7,18,10,1,168,20,10,1,191,24,10,0,237,0,0
13/1/2018,Beef and Squash Kabob,52,7,0,431,2.288461538,73146.51923,32,7,0,273,53,7,0,462,47,7,0,403,0,0
13/1/2018,Chicken and Onion Kabob,69,10,1,717,2.265625,68819.65625,64,10,0,705,51,10,0,552,81,10,0,876,0,0
13/1/2018,Chutney,18,2,0,52,4.058823529,70700.76471,21,2,0,56,22,2,0,60,21,2,0,45,0,0
13/1/2018,Coconut and Beef Vindaloo,6,4,0,21,2.2,80124.2,12,4,0,38,11,4,0,38,11,4,0,38,0,0
13/1/2018,Fountain Drink,52,2,0,103,3.142857143,57231.71429,57,2,0,113,58,2,0,115,40,2,0,79,0,0
13/1/2018,Lamb and Veggie Kabob,13,8,0,119,2.230769231,53916.07692,6,8,0,55,17,8,0,162,14,8,0,130,0,0
13/1/2018,Lamb Chops,29,9,0,263,5.24137931,48456.41379,19,10,0,174,16,14,0,229,15,9,1,123,0,0
13/1/2018,Naan,16,2,0,38,6.3125,31440.75,23,2,0,55,36,2,0,112,11,2,0,22,0,0
13/1/2018,Rice,23,2,0,64,3.173913043,56651,22,2,0,54,21,2,0,62,35,2,0,82,0,0
13/1/2018,Salmon and Wheat Bran Salad,110,13,0,1428,5.074766355,55239.57944,103,13,1,1238,120,17,0,2043,123,12,0,1571,0,0
13/1/2018,Yogurt,58,3,0,233,3.055555556,64930.87037,45,3,0,177,44,3,0,191,37,3,1,137,0,0
15/1/2018,Aubergine and Chickpea Vindaloo,4,4,0,14,2.333333333,33366.66667,9,4,0,28,1,4,0,4,7,4,0,24,895,7
15/1/2018,Beef and Apple Burgers,23,13,1,285,2.434782609,56582.95652,30,15,0,433,25,15,2,345,20,17,0,336,895,7
15/1/2018,Beef and Broccoli,18,9,0,197,1.307692308,76956.23077,15,12,0,174,13,9,0,112,18,10,0,168,895,7
15/1/2018,Beef and Broccoli Stir Fry,15,10,0,150,4.928571429,35838.71429,10,10,0,98,10,10,0,100,6,10,0,61,895,7
15/1/2018,Beef and Squash Kabob,35,7,0,290,2.03125,68787.28125,26,7,0,219,18,7,0,156,43,7,0,367,895,7
15/1/2018,Chicken and Onion Kabob,42,10,0,465,9.45,57561.575,45,10,0,487,26,10,0,280,47,10,1,506,895,7
15/1/2018,Chutney,16,2,0,48,2.333333333,73379,10,2,0,27,15,2,0,34,16,2,0,47,895,7
15/1/2018,Coconut and Beef Vindaloo,9,4,0,32,2,50024.83333,13,4,0,42,5,4,0,18,9,4,0,32,895,7
15/1/2018,Fountain Drink,22,2,0,44,3.55,60078.15,41,2,0,81,33,2,0,60,19,2,0,38,895,7
15/1/2018,Lamb and Veggie Kabob,12,8,0,113,3.416666667,50071.41667,9,8,1,75,5,8,0,45,6,8,0,57,895,7
15/1/2018,Lamb Chops,16,10,1,195,2.1,60063.8,17,9,0,151,15,9,0,131,5,26,0,132,895,7
15/1/2018,Naan,10,2,0,36,4.555555556,55574.77778,16,2,0,38,18,2,0,44,12,2,0,42,895,7
15/1/2018,Rice,13,2,0,46,2.833333333,58389.33333,21,2,0,60,13,2,0,34,17,2,0,55,895,7
15/1/2018,Salmon and Wheat Bran Salad,62,13,2,752,3.566037736,54794.35849,93,13,0,1194,63,14,0,841,61,14,0,842,895,7
15/1/2018,Yogurt,19,3,0,89,1.9375,56273.8125,33,3,0,149,27,3,0,93,26,3,0,134,895,7
16/1/2018,Aubergine and Chickpea Vindaloo,7,4,0,24,1.5,50002,9,4,0,32,6,4,0,21,6,4,0,21,58,2
16/1/2018,Beef and Apple Burgers,30,10,1,256,2.4,53369.1,24,12,1,263,17,12,0,210,24,15,2,309,58,2
16/1/2018,Beef and Broccoli,9,5,0,42,9,44489.11111,14,18,0,246,17,12,0,198,11,6,1,62,58,2
16/1/2018,Beef and Broccoli Stir Fry,14,10,0,140,1.727272727,63646.27273,8,10,0,80,13,10,0,130,9,10,0,92,58,2
16/1/2018,Beef and Squash Kabob,37,7,1,280,1.794117647,61830.41176,22,7,1,169,32,7,0,280,20,7,1,142,58,2
16/1/2018,Chicken and Onion Kabob,47,10,1,505,9.804878049,43981.53659,34,10,1,351,41,10,0,448,25,10,1,261,58,2
16/1/2018,Chutney,11,2,0,23,6.333333333,66711.77778,8,2,0,19,9,2,0,22,16,2,0,32,58,2
16/1/2018,Coconut and Beef Vindaloo,18,4,0,62,2.071428571,57215.35714,6,4,0,21,7,4,0,24,0,0,0,0,58,2
16/1/2018,Fountain Drink,32,2,0,63,6.615384615,34678.57692,22,2,0,42,34,2,0,68,31,2,0,58,58,2
16/1/2018,Lamb and Veggie Kabob,14,8,1,124,2.571428571,57150.21429,11,8,4,58,5,8,0,48,6,8,1,48,58,2
16/1/2018,Lamb Chops,14,7,1,89,3.785714286,28736.78571,11,7,3,43,17,12,0,212,13,8,0,103,58,2
16/1/2018,Naan,14,2,0,29,6.285714286,42904.64286,12,2,0,24,11,2,0,30,17,2,0,36,58,2
16/1/2018,Rice,12,2,0,23,4.454545455,63768,8,2,0,16,17,2,0,56,8,2,0,16,58,2
16/1/2018,Salmon and Wheat Bran Salad,94,11,0,976,6.936170213,47947.38298,84,11,0,997,83,13,0,1088,72,12,1,836,58,2
16/1/2018,Yogurt,39,3,0,136,2.181818182,51566.72727,25,3,0,94,31,3,0,116,21,3,0,69,58,2
17/1/2018,Aubergine and Chickpea Vindaloo,3,4,0,10,1.666666667,66712,8,4,0,28,5,4,0,18,1,4,0,4,0,0
17/1/2018,Beef and Apple Burgers,19,14,2,220,13.68421053,52707.89474,20,15,1,277,32,14,0,442,24,10,1,217,0,0
17/1/2018,Beef and Broccoli,7,7,1,41,32.85714286,28795.71429,11,13,0,148,19,9,0,153,31,7,2,188,0,0
17/1/2018,Beef and Broccoli Stir Fry,11,10,0,110,21.63636364,72736.27273,9,10,0,89,14,10,0,140,11,10,0,110,0,0
17/1/2018,Beef and Squash Kabob,13,7,0,111,1.538461538,69283.15385,26,7,0,218,38,7,0,334,20,7,0,169,0,0
17/1/2018,Chicken and Onion Kabob,33,10,0,369,2.8125,75048,59,10,1,613,50,10,0,559,41,10,1,439,0,0
17/1/2018,Chutney,5,2,0,8,6.4,60262.2,16,2,0,54,22,2,0,54,13,2,1,42,0,0
17/1/2018,Coconut and Beef Vindaloo,5,4,0,18,4,20320,15,4,0,52,0,0,0,0,6,4,1,18,0,0
17/1/2018,Fountain Drink,16,2,0,27,4.571428571,50116.57143,45,2,0,88,40,2,0,79,21,2,0,40,0,0
17/1/2018,Lamb and Veggie Kabob,4,8,5,19,1,99999,4,8,1,36,10,8,0,90,5,8,2,39,0,0
17/1/2018,Lamb Chops,10,8,0,83,3.5,70138.3,23,10,0,227,18,8,0,134,10,7,0,74,0,0
17/1/2018,Naan,6,2,0,14,2.166666667,33448.33333,18,2,0,58,17,2,0,37,15,2,0,32,0,0
17/1/2018,Rice,5,2,0,12,1.6,80005.6,17,2,0,64,16,2,0,42,7,2,0,14,0,0
17/1/2018,Salmon and Wheat Bran Salad,51,12,1,573,8.020408163,42952.7551,89,13,0,1173,110,13,0,1396,83,12,1,866,0,0
17/1/2018,Yogurt,24,3,0,91,1.913043478,47965.08696,32,3,0,127,28,3,0,122,32,3,0,128,0,0
18/1/2018,Aubergine and Chickpea Vindaloo,8,4,0,27,5,66682.66667,8,4,0,27,19,4,0,66,13,4,0,42,0,0
18/1/2018,Beef and Apple Burgers,21,13,0,261,3.285714286,43012.28571,13,12,1,142,30,16,1,447,33,13,1,387,0,0
18/1/2018,Beef and Broccoli,20,7,0,131,3.05,45076.2,9,6,0,58,33,10,3,266,17,21,0,350,0,0
18/1/2018,Beef and Broccoli Stir Fry,8,10,0,80,1.625,75044.5,11,10,0,110,17,10,0,170,15,10,0,150,0,0
